0
mackerel
low carb
sea salt
convenience - easy-to-prepare
tuna
low sodium
low sugar
chicken
ethical - packaging
high/source of protein
no additives/preservatives
soy foods
gingerbread
vegetarian
ethnic & exotic
blueberry
bone health
prebiotic
poultry
ethical - not specific
french bisque
energy/alertness
gmo free
halal
salmon
beef hamburger
low calorie
peach
crab
nuts
